#    L    TT             EE             BB             TE          
   308    3.78912E+03    1.05248E+01    2.87137E-02    1.19495E+02
   309    3.76231E+03    1.07347E+01    2.87586E-02    1.19582E+02
   310    3.72824E+03    1.09427E+01    2.89128E-02    1.19761E+02
   311    3.69429E+03    1.11289E+01    2.90705E-02    1.19864E+02
   312    3.66716E+03    1.13008E+01    2.91829E-02    1.19953E+02
   313    3.63622E+03    1.14847E+01    2.93783E-02    1.20023E+02
   314    3.60308E+03    1.16958E+01    2.95957E-02    1.20135E+02
   315    3.56743E+03    1.18991E+01    2.97225E-02    1.20063E+02
   316    3.53174E+03    1.20943E+01    2.98114E-02    1.19771E+02
   317    3.49613E+03    1.22893E+01    2.99013E-02    1.19256E+02
   318    3.45305E+03    1.24772E+01    3.00027E-02    1.18645E+02
   319    3.40578E+03    1.26582E+01    3.00994E-02    1.17943E+02
   320    3.36546E+03    1.28373E+01    3.02069E-02    1.17305E+02
   321    3.33416E+03    1.30176E+01    3.03336E-02    1.16885E+02
   322    3.30664E+03    1.31770E+01    3.04528E-02    1.16297E+02
   323    3.28530E+03    1.33332E+01    3.05985E-02    1.15945E+02
   324    3.26405E+03    1.35470E+01    3.07577E-02    1.15942E+02
   325    3.23165E+03    1.37921E+01    3.08680E-02    1.15616E+02
   326    3.19415E+03    1.40010E+01    3.09348E-02    1.14795E+02
   327    3.16203E+03    1.41595E+01    3.10288E-02    1.13816E+02
   328    3.13047E+03    1.43112E+01    3.10542E-02    1.12984E+02
   329    3.10052E+03    1.44678E+01    3.10275E-02    1.12545E+02
   330    3.07434E+03    1.46416E+01    3.10909E-02    1.12309E+02
   331    3.03752E+03    1.48059E+01    3.12398E-02    1.11243E+02
   332    2.99743E+03    1.49447E+01    3.14263E-02    1.09741E+02
   333    2.96751E+03    1.51155E+01    3.15964E-02    1.08803E+02
   334    2.94279E+03    1.53294E+01    3.17500E-02    1.08294E+02
   335    2.91153E+03    1.55170E+01    3.18717E-02    1.07175E+02
   336    2.87253E+03    1.56770E+01    3.19795E-02    1.05707E+02
   337    2.84721E+03    1.58981E+01    3.21317E-02    1.05042E+02
   338    2.82897E+03    1.61495E+01    3.22728E-02    1.04806E+02
   339    2.80023E+03    1.63475E+01    3.24224E-02    1.04012E+02
   340    2.76632E+03    1.64685E+01    3.25270E-02    1.02319E+02
   341    2.73194E+03    1.65741E+01    3.24921E-02    1.00469E+02
   342    2.69880E+03    1.66944E+01    3.25120E-02    9.90194E+01
