#    L    TT             EE             BB             TE
   315    3.56454E+03    1.18860E+01    2.96686E-02    1.19863E+02
   316    3.52698E+03    1.20958E+01    2.98537E-02    1.20136E+02
   317    3.50525E+03    1.22982E+01    2.98535E-02    1.19144E+02
   318    3.45518E+03    1.24771E+01    3.00319E-02    1.18643E+02
   319    3.40125E+03    1.26684E+01    3.01030E-02    1.18271E+02
   320    3.35430E+03    1.28232E+01    3.01437E-02    1.16437E+02
   321    3.34092E+03    1.30296E+01    3.04152E-02    1.17777E+02
   322    3.29697E+03    1.32222E+01    3.03735E-02    1.15813E+02
   323    3.28317E+03    1.32450E+01    3.06218E-02    1.15498E+02
   324    3.27535E+03    1.35522E+01    3.07409E-02    1.16423E+02
   325    3.23652E+03    1.37982E+01    3.10051E-02    1.15841E+02
   326    3.18261E+03    1.40784E+01    3.07634E-02    1.14955E+02
   327    3.16471E+03    1.41070E+01    3.11514E-02    1.13480E+02
   328    3.13657E+03    1.43529E+01    3.11352E-02    1.13232E+02
   329    3.08068E+03    1.44253E+01    3.08688E-02    1.11400E+02
   330    3.09674E+03    1.46480E+01    3.11170E-02    1.13842E+02
   331    3.03653E+03    1.48580E+01    3.11584E-02    1.11160E+02
   332    2.98389E+03    1.49023E+01    3.14983E-02    1.09409E+02
   333    2.97045E+03    1.50785E+01    3.15725E-02    1.08069E+02
   334    2.93655E+03    1.53412E+01    3.17556E-02    1.09052E+02
   335    2.93727E+03    1.56074E+01    3.19592E-02    1.07880E+02
   336    2.84460E+03    1.55541E+01    3.18260E-02    1.04337E+02
   337    2.84401E+03    1.59151E+01    3.22467E-02    1.05160E+02
   338    2.84558E+03    1.61650E+01    3.22320E-02    1.04887E+02
   339    2.79561E+03    1.64291E+01    3.23551E-02    1.05028E+02
   340    2.76803E+03    1.64596E+01    3.27859E-02    1.02136E+02
   341    2.73161E+03    1.65338E+01    3.23775E-02    1.00047E+02
   342    2.69609E+03    1.67459E+01    3.23342E-02    9.90310E+01
   343    2.66065E+03    1.67728E+01    3.28596E-02    9.77449E+01
   344    2.66709E+03    1.68928E+01    3.25869E-02    9.64063E+01
   345    2.62217E+03    1.73127E+01    3.27364E-02    9.69914E+01
   346    2.59613E+03    1.73811E+01    3.26690E-02    9.49530E+01
   347    2.57255E+03    1.74639E+01    3.33494E-02    9.33766E+01
   348    2.53568E+03    1.75887E+01    3.33598E-02    9.14705E+01
   349    2.52093E+03    1.78099E+01    3.36330E-02    9.03240E+01
   350    2.48828E+03    1.80745E+01    3.33273E-02    8.85533E+01
   351    2.48254E+03    1.81695E+01    3.37967E-02    8.79632E+01
   352    2.44686E+03    1.83527E+01    3.36183E-02    8.65618E+01
   353    2.42435E+03    1.83935E+01    3.42826E-02    8.53598E+01
   354    2.39093E+03    1.84496E+01    3.36597E-02    8.32192E+01
   355    2.37097E+03    1.86238E+01    3.41059E-02    8.14257E+01
   356    2.36560E+03    1.89095E+01    3.39351E-02    8.04639E+01
   357    2.31969E+03    1.90220E+01    3.44208E-02    7.91471E+01
   358    2.29413E+03    1.91017E+01    3.46102E-02    7.70279E+01
   359    2.28711E+03    1.91659E+01    3.44428E-02    7.59937E+01
   360    2.26043E+03    1.93291E+01    3.43790E-02    7.39254E+01
   361    2.24389E+03    1.95381E+01    3.45791E-02    7.26592E+01
   362    2.20348E+03    1.96157E+01    3.45005E-02    7.08411E+01
   363    2.18131E+03    1.96269E+01    3.46141E-02    6.77962E+01
   364    2.19765E+03    1.98484E+01    3.49937E-02    6.81592E+01
   365    2.16183E+03    1.99673E+01    3.47637E-02    6.55551E+01
   366    2.13224E+03    2.02151E+01    3.54512E-02    6.31691E+01
   367    2.12334E+03    2.02792E+01    3.53608E-02    6.26297E+01
   368    2.08229E+03    2.03672E+01    3.54349E-02    6.03087E+01
   369    2.10758E+03    2.02862E+01    3.54363E-02    5.77060E+01
   370    2.07149E+03    2.04229E+01    3.56805E-02    5.70943E+01
   371    2.04688E+03    2.04822E+01    3.55971E-02    5.43753E+01
   372    2.03536E+03    2.05015E+01    3.55169E-02    5.28336E+01
   373    1.99626E+03    2.06783E+01    3.58024E-02    5.02058E+01
   374    2.01063E+03    2.07892E+01    3.59592E-02    4.89364E+01
   375    1.98380E+03    2.08540E+01    3.60090E-02    4.72041E+01
   376    1.97244E+03    2.11206E+01    3.62645E-02    4.53082E+01
   377    1.95975E+03    2.09669E+01    3.61438E-02    4.37778E+01
   378    1.94940E+03    2.09681E+01    3.66086E-02    4.22468E+01
   379    1.93085E+03    2.11344E+01    3.67613E-02    3.99337E+01
   380    1.92293E+03    2.12362E+01    3.63135E-02    3.78330E+01
   381    1.89665E+03    2.13135E+01    3.67255E-02    3.52243E+01
   382    1.89026E+03    2.13082E+01    3.69948E-02    3.30227E+01
   383    1.88419E+03    2.14095E+01    3.68198E-02    3.28069E+01
   384    1.86781E+03    2.13519E+01    3.68847E-02    3.04103E+01
   385    1.87639E+03    2.17496E+01    3.72062E-02    2.89333E+01
   386    1.85872E+03    2.14747E+01    3.75626E-02    2.57783E+01
   387    1.82894E+03    2.14274E+01    3.73090E-02    2.28477E+01
   388    1.83825E+03    2.16555E+01    3.74934E-02    2.25744E+01
   389    1.81380E+03    2.17437E+01    3.77692E-02    2.03244E+01
   390    1.80936E+03    2.15354E+01    3.78063E-02    1.66564E+01
   391    1.79838E+03    2.16590E+01    3.79185E-02    1.75729E+01
   392    1.78048E+03    2.17685E+01    3.77485E-02    1.44837E+01
